"id","name","created_date","modified_date"
3,"World Bank","2023-12-08 22:44:44.232941",NULL
2,"UN Habitat","2023-12-08 22:44:44.232941",NULL
8,"manual entry","2023-12-08 22:44:44.232941",NULL
4,"climate_trace","2023-12-08 22:44:44.232941",NULL
7,"lmop","2023-12-08 22:44:44.232941",NULL
6,"ghgrp","2023-12-08 22:44:44.232941",NULL
9,"unfccc","2023-12-08 22:44:44.232941",NULL
5,"edgar","2023-12-08 22:44:44.232941",NULL
1,"UN Department of Economic and Social Affairs","2023-12-08 22:44:44.232941",NULL
