"facility_id","annual_incoming_waste_metric_tonnes","waste_in_place_metric_tonnes","year","data_source_id","created_date","modified_date","observation_type_id","data_source_location_id"
10501,"27893.88",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10502,"260735.52",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10502,"260735.52",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10503,"401458.7",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10503,"401458.7",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10504,"334489.14",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10504,"334489.14",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10505,"195864.62",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10505,"195864.62",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10506,"32299.9",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10506,"32299.9",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10507,"245098.33",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10507,"245098.33",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10508,"26542.08",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10508,"26542.08",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10509,"425082.22",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10509,"425082.22",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10510,"190647.83",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10510,"190647.83",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10511,"40287.67",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10511,"40287.67",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10512,"142269.55",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10512,"142269.55",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10513,"49303.18",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10513,"49303.18",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10514,"61545.35",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10514,"61545.35",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10515,"57085.81",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10515,"57085.81",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10516,"178515.09",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10516,"178515.09",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10517,"420917.33",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10517,"420917.33",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10518,"370760.46",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10518,"370760.46",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10519,"332010.78",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10519,"332010.78",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10520,"314471.68",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10520,"314471.68",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10521,"299193.17",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10521,"299193.17",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10522,"59120.07",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10522,"59120.07",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10523,"92336.85",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10523,"92336.85",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10524,"42502.29",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10524,"42502.29",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10525,"51495.98",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10525,"51495.98",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10526,"19650.34",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10526,"19650.34",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10527,"87788.25",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10527,"87788.25",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10528,"404752.57",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10528,"404752.57",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10529,"46900.65",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10529,"46900.65",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10530,"368056.94",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10530,"368056.94",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10531,"41522.58",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10531,"41522.58",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10532,"72567.95",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10532,"72567.95",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10533,"409962.18",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10533,"409962.18",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10534,"32240.41",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10534,"32240.41",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10535,"215148.14",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10535,"215148.14",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10536,"40907.44",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10536,"40907.44",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10537,"58826.75",NULL,2022,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10537,"58826.75",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
10538,"57449.3",NULL,2021,4,"2024-01-18 20:53:05.365309","2024-04-08 21:24:32.88489",4,2
