"facility_id","emissions_metric_tonnes","year","data_source_id","created_date","modified_date","observation_type_id","data_source_location_id"
6816,"4035.14",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6816,"4035.14",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6817,"1288.06",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6817,"1288.06",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6818,"2894.13",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6818,"2894.13",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6819,"0.14",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6819,"0.14",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6820,"503.32",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6820,"503.32",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6821,"46.22",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6821,"46.22",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6822,"4107.78",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6822,"4107.78",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6823,"10916.58",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6823,"10916.58",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6824,"841.7",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6824,"841.7",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6825,"3881.75",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6825,"3881.75",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6826,"1898.05",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6826,"1898.05",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6827,"97.0",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6827,"97.0",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6828,"2735.11",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6828,"2735.11",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6829,"2944.14",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6829,"2944.14",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6830,"1981.06",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6830,"1981.06",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6831,"784.66",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6831,"784.66",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6832,"1651.24",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6832,"1651.24",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6833,"1588.82",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6833,"1588.82",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6834,"4046.26",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6834,"4046.26",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6835,"1688.58",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6835,"1688.58",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6836,"3142.5",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6836,"3142.5",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6837,"2343.6",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6837,"2343.6",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6838,"2617.01",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6838,"2617.01",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6839,"1407.79",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6839,"1407.79",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6840,"1173.34",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6840,"1173.34",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6841,"91.39",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6841,"91.39",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6842,"0.06",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6842,"0.06",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6843,"18910.6",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6843,"18910.6",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6844,"1540.0",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6844,"1540.0",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6845,"478.62",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6845,"478.62",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6846,"512.62",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6846,"512.62",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6847,"349.66",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6847,"349.66",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6848,"1263.08",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6848,"1263.08",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6849,"3566.41",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6849,"3566.41",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6850,"3763.45",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6850,"3763.45",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6851,"2382.26",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6851,"2382.26",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6852,"3580.7",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6852,"3580.7",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6853,"639.75",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6853,"639.75",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6854,"2358.04",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6854,"2358.04",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6855,"2095.03",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6855,"2095.03",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6856,"1088.03",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6856,"1088.03",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6857,"396.4",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6857,"396.4",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6858,"1242.01",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6858,"1242.01",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6859,"1482.01",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6859,"1482.01",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6860,"1738.67",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6860,"1738.67",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6861,"3.24",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6861,"3.24",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6862,"955.2",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6862,"955.2",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6863,"4448.33",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6863,"4448.33",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6864,"1989.3",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6864,"1989.3",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6865,"567.01",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6865,"567.01",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6866,"1483.48",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6866,"1483.48",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6867,"1410.8",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6867,"1410.8",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6868,"577.14",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6868,"577.14",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6869,"907.84",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6869,"907.84",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6870,"2902.27",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6870,"2902.27",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6871,"1203.54",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6871,"1203.54",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6872,"414.48",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6872,"414.48",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6873,"1118.63",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6873,"1118.63",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6874,"10.57",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6874,"10.57",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6875,"384.92",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6875,"384.92",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6876,"1129.8",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6876,"1129.8",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6877,"519.31",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6877,"519.31",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6878,"1838.03",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6878,"1838.03",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6879,"1578.87",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6879,"1578.87",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6880,"1996.39",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6880,"1996.39",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6881,"5626.35",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6881,"5626.35",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6882,"1896.17",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6882,"1896.17",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6883,"619.88",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6883,"619.88",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6884,"4432.43",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6884,"4432.43",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6885,"817.47",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6885,"817.47",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6886,"855.74",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6886,"855.74",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6887,"840.23",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6887,"840.23",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6888,"550.92",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6888,"550.92",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6889,"623.11",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6889,"623.11",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6890,"1393.04",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6890,"1393.04",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6891,"5105.94",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6891,"5105.94",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6892,"627.02",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6892,"627.02",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6893,"2767.0",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6893,"2767.0",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6894,"17.04",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6894,"17.04",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6895,"0.17",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6895,"0.17",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6896,"1327.59",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6896,"1327.59",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6897,"286.37",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6897,"286.37",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6898,"792.0",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6898,"792.0",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6899,"10775.72",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6899,"10775.72",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6900,"6384.16",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6900,"6384.16",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6901,"2920.0",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6901,"2920.0",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6902,"1643.79",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6902,"1643.79",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6903,"6347.19",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6903,"6347.19",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6904,"1708.95",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6904,"1708.95",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6905,"2046.27",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6905,"2046.27",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6906,"841.9",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6906,"841.9",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6907,"129.0",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6907,"129.0",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6908,"257.0",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6908,"257.0",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6909,"413.0",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6909,"413.0",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6910,"637.0",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6910,"637.0",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6911,"237.0",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6911,"237.0",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6912,"615.0",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6912,"615.0",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6913,"970.0",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6913,"970.0",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6914,"147.0",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6914,"147.0",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6915,"395.0",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6915,"395.0",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6916,"111.0",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6916,"111.0",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6917,"7.83",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6917,"7.83",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6918,"4.39",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6918,"4.39",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6919,"2432.85",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6919,"2432.85",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6920,"2259.12",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6920,"2259.12",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6921,"1724.57",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6921,"1724.57",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6922,"1436.55",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6922,"1436.55",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6923,"1627.85",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6923,"1627.85",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6924,"1208.54",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6924,"1208.54",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6925,"5105.07",2022,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
6925,"5105.07",2021,4,"2024-01-18 20:24:05.171685","2024-04-08 21:22:19.019665",4,2
