"id","name","created_date","modified_date"
1,"measured","2023-12-08 22:44:44.232941",NULL
3,"observed","2023-12-08 22:44:44.232941",NULL
4,"reported","2023-12-08 22:44:44.232941",NULL
2,"modeled","2023-12-08 22:44:44.232941","2024-01-17 16:10:27.129669"
